Context,Response
"I have three siblings. My mom loves them and not me. She’s always yelling at me, but when it comes to my siblings, she talks to them. I’m always crying in my room.","Have you ever tried talking with her about this when she's not angry? While I hear you saying that it feels like she doesn't love you, there could be a lot of other pieces to this. Have you ever told her about how much she means to you (when she's not angry)?"
My daughter seemed to be developing at a normal rate until about the age of 10. She then started to act younger than she is.    Now she only wants to play with younger kids and she doesn't act her age. I don't know why this is happening. Is this normal?,"Hello.It sounds like you are really concerned about your daughter because you have noticed a significant change in her behavior .   It's really a great first step that you are reaching out to get some ideas about what might be going on .  You are clearly an observant and hands on  mom who wants to be sure that her daughter is ok.This is a tough question to answer without more information .  With that said , I have found that ""under stress people regress.""  In other words , many people , children and adults alike , often regress and behave differently - as if they were younger than their actual age - when under stress .   Therefore , my first question would be : has anything been happening recently that is causing your daughter stress ?  This could be anything from conflict at home , recent changes such as moving , divorce , a loss of some kind , switching schools , or losing a friend or friends .   Additionally , sometimes if children are feeling bullied or left out by same age peers , they may gravitate toward younger playmates as a way to boost their social confidence .    I would suggest that you think about what stressors / changes may have occurred recently.  You may also want to check in with her teacher (s) to see if they have noticed any changes in your daughter's behavior at school .I also think that you can have a conversation with your daughter in order to see if you can get a sense about whether or not something has been bothering her.  Something as simple as "" I have noticed that you aren't spending time with the friends you used to hang out with ; it seems like you have been playing with a lot of younger kids lately .  Am I right about that ? "" and then if she says yes you might ask a few questions such as : ""did something happen with your friends that  is making you not want to be with them?"" ""Has something been bothering you lately ? Are you feeling upset or worried ? "" If she denies that there is anything wrong you might even say "" I know that sometimes when I feel stressed or worried , I tend to act a little differently - sometimes I withdraw from my regular group of friends , or I get cranky and feel less like myself .  I wonder if something like that is happening with you ?"" If you are really concerned and not getting any answers from her and / or her teachers , perhaps you can consult with a therapist to discuss your concerns further and decide if it might  help for your daughter to talk to a therapist a few times , or at the very least you can get more specific tips from a therapist about how to approach this issue with your daughter more effectively . The more detail you can provide about what you have noticed with your daughter , including any changes or new stressors ,  any possible patterns to this behavior , if school has become more difficult socially and or academically , the more a therapist can guide you about how best to handle your concerns and talk with your daughter in a way that is helpful to her. Good luck!   I believe that this may just be a phase and it seems to me to be well within the normal range of children's behavior.  I do, though, think that you will feel more assured about this  if you can get to the bottom of what's going on ."
"My mother and I have an okay relationship. I know she loves me unconditionally, and I love her the same. However, more times than not, I'm afraid to tell her anything personal because she either doesn't listen, she turns it around and makes everything about her, or she ignores things - even when they are about my mental health.","How can I get my mother to listen to me without her freaking out?Communication with our loved ones can be tricky, but it is the key to maintaining a healthy and functional relationship with them. At times, it seems difficult to communicate with our family because many feelings and “undercover” messages are attached. Especially with our mothers, who often provide advice and feel responsible for us, it may feel like they are making everything about themselves as they express their worries and concerns.So what to do? First will be important to practice active listening skills, to ensure that you are receiving and understanding the message, without filtering it trough your own emotions or preconceptions of the person who speaks.  Second, learn and practice assertive communication skills.  Those will help you to communicate a message clearly and in pieces.  It also emphasizes using I-statements to express how you feel at times when emotions become affected by the interaction.  Third, you should practice, by writing your I-statement or role playing with your counselor.   The trick with communication skills is that we need to practice them as often as possible until you to master them.  You can also contact a family therapist to improve those skills if it becomes challenging, or contact a mediator if more issues arise.¿Cómo puedo lograr que mi mamá me escuche sin alarmarse tanto?La comunicación con nuestros seres queridos puede ser dificultosa, pero es la clave para mantener relaciones saludables y funcionales con ellos.  A veces, nos parece aun más difícil comunicarnos con nuestra familia, porque hay muchos sentimientos y mensajes envueltos en la comunicación.  Especialmente nuestras  madres,  pueden hacer parecer que están convirtiendo el asunto en algo personal, cuando se sienten preocupadas y responsables por nosotros y nuestras acciones.¿Y qué hacemos?  Primero debemos aprender a escuchar activamente, para asegurarnos de que comprendemos el mensaje, y que no lo estemos filtrando a través de nuestras emociones e ideas de la otra persona. Segundo, aprende y practica comunicación asertiva.  Esto te ayudara a comunicar un mensaje claramente y en pedazos.  También te ayudar a aprender expresiones del Yo, para identificar sentimientos afectados durante la interacción.  Tercero, es importante que practiques estas destrezas, ya sea escribiendo o con tu consejero.  El secreto está en practicar las técnicas de comunicación cuantas veces sea posible, hasta que las uses espontáneamente.  Si tienes dificultad aprendiendo estas técnicas, o el conflicto con tu mama es uno muy difícil de resolver, puedes contactar un consejero o mediador familiar para que te asista. "
"My brother has been diagnosed with paranoid schizophrenia and has not been taking his medication. He's been using methamphetamine and alcohol and was found sleeping naked in my step mom driveway in 12 degree weather.
   I was adopted in by his dad (who just passed) and his mother will not Get involved because she's afraid of financial responsibility.    Do I have the rights to be able to sign my brother into mentalhealth facility?","Family members sometimes get Power of Attorney over vulnerable adults. If you had this, you could do something like that. I'm assuming that you don't, though. There are steps family members can take through the court system to get someone involuntarily committed, but it is a long process. I deal with situations like this everyday on the job. The only time an adult can be committed against their will is if they are deemed by the doctor (such as at an emergency room) to be a threat to self or others. For instance, if he had suicidal thoughts and a plan to carry out the action, or if he had homicidal thoughts against someone else and a plan to carry it out, he could be placed on a short hold, but these holds only last for a few days. This still isn't a long-term solution. An adult has the right to refuse treatment and the right to make their own choices, no matter how bad those choices are. If you have a way to get him to an ER whenever things like that happen, such as being found sleeping outside in 12 degree weather, it will help a lot. They may or may not do a short term commitment for treatment based on the situation that brings him to the ER, but it's a start. They can help set him up with appointments for psych and he can get on medications. You can help by taking him to appointments and making sure his medications get filled. However, you can't force him to take the meds, so this may be something that happens a lot. With enough of a paper trail of many ER visits and that sort of thing, you'll stand a better chance of getting a court appointed psych ward stay. Some tips about ER visits: Don't send him alone. Always go with him or have someone go with him, because you will be able to give the treatment team better insight into what's going on than he will. He may say everything's fine and he wants to leave, so they won't have any reason to keep him if that is the case. Go with him. If you do get Power of Attorney, take the paperwork with you when you go to the ER and to doctor's appointments because they aren't just going to take your word. They need to see the actual paperwork. Having it on file in their system isn't good enough because paperwork expires, etc. Take it with you at all times. You can also compile his medical records and that sort of thing to take with you so they can see a full history of what's going on.Keep in mind that if you do get Power of Attorney, this makes you his guardian and you have to take care of him. Otherwise, you can get reported for vulnerable adult abuse and neglect. In fact, your mom ignoring and not helping may already put her at risk of that because she is willingly doing nothing to help someone who clearly needs the help. She won't be financially responsible for the hospital or doctor bills, but should be held responsible for his safety. Someone should. There are group homes for people with schizophrenia. "" Being responsible"" for someone doesn't mean you have to pay their bills, it just means you are going to make sure they get the care they need. That care may be placement in a long-term care facility like a group home or a nursing home. Psych inpatient hospitals aren't long-term, so you do need to look into other long-term options. Psych inpatient stays are temporary and are to stabilize him, they're not where someone stays forever.Good luck, and keep up the good attitude! Work with his treatment team. Ask for a social worker. If they see family that is wanting to do the right thing and wanting to help, they'll help you even if it does take a while to get things sorted out. The worst thing any of you can do is NOT go to appointments and that sort of thing."
"It happens especially at me and my sister, and then she gets emotional and brings up the past. How should I deal with it? She is always stressed about her work and doesn't put her family first.","Anger is a normal emotion, and yet it is a really hard one... how much is too much? and how do you express it without damaging those around you? yes mom's get angry, sometimes too easy... but its their responsibility to manage their anger-- get their own support and put themselves in time outs when they cannot handle it well.  Since you are the kids, you shouldn't have to fix or calm down mom's anger. Maybe in a calmer time when you guys are being silly talk with her one on one? Tell her  you are feeling sad and hurt that she gets upset at you girls. Ask her if there is 1 thing you can work on this next month to help her. Ask her if she would work on 1 thing for you this month-- not yelling? taking a time out? telling you before she blows her top so you can exit the room? Also for you, check out a library book on anger so you know how to handle yours, and one on parents and anger. Number one to remember, if you don't feel safe, if she is calling you names, or hurting you, breaking things etc. make sure you go to a trusted adult--school counselor, neighbor, aunt, church friend as soon as possible. You are much too important to be hurt and if mom is out of control, someone else needs to be --caring for you."
"I have been diagnosed with posttraumatic stress disorder due to my military experiences. Not a year ago, I had a car accident. Could this experience add more problems?","Post Traumatic Stress Disorder can occur after any traumatic event where a real and present threat of harm or loss of life to yourself or others is present. Yes, a car accident could increase PTSD symptoms such as hyper-vigilance, anxiety, nightmares, re-playing the event, etc. Depending on the severity of the accident new triggers might exist. This is not to say that you cannot recover. Are you currently experiencing additional trauma symptoms?"
I am pretty sure I have depression and anxiety. I also have voices in my head. I have problems sleeping too. I've already been diagnosed with attention-deficit disorder and obsessive-compulsive disorder. I have self-harmed in the last and used to be suicidal. How do I tell them this and ask for therapy?,"If you have already been diagnosed with attention-deficit disorder and obsessive-compulsive disorder, can you go back to the people who diagnosed you with those things?It may be that your parents would be open to you talking with someone because it sounds like you have done this in the past. I don't know whether you have a specific reason that you are thinking they may have some hesitation, but if you are comfortable saying that you would really like to talk to someone because you are feeling sad or anxious (or whichever of your concerns you feel comfortable revealing to them), that may be a way to start the process. As for how you tell them about the fact that you have harmed yourself in the past and used to be suicidal, a therapist may be able to work together with you to discuss the best way to tell them about that.I'm not sure if you have told anyone about what you have been experiencing, but if you have some support there, perhaps they would be able to give you feedback about ways to talk with your parents as well.You mentioned that sometimes you hear voices. This can happen for a variety of reasons, but if the voices that you hear are giving you directions and you feel as though you might follow them, that would be a time to ask for immediate help, before you follow through with what they are telling you, perhaps by calling 800-273-8255. They may be able to connect you with local resources and they can definitely talk with you in the moment that you call."
Ever since my mother passed away my family has treated me like a stranger. Now I'm concerned that my father will need to go into a nursing home. If that happens I think I'm going to be on my own to handle it.    What should I do? I'm going to need my family's help and support.,"Understandably you'd like support from those who know and love you.From what you write, your family members do not offer you your very reasonable expectation.Start by telling particular family members with whom you feel you'd have the most likely chance of success in their meeting your expectation by loving you.This way you are able to tell yourself you've tried what is reasonable to try.Don't give up on expecting loving support for yourself!If your family members are unwilling to give you this, then start to give yourself loving attention and care.Gradually you will bring yourself in contact with new others who will love you.Loving yourself makes you attractive. so others will find your willingness to be loved."
"How do you know you have the right therapist for you?
 How would I know how to ""train"" my therapist to be able to give me what I need from treatment?","Choosing the right therapist can sometimes feel a bit overwhelming. I know many people come to therapy with hesitations and potential fears but a therapist should be there to help you along the way and support you as you build a trusting and collaborative relationship. You won't have to ""train"" your therapist to give you what you need. Through open dialogue and feedback you and your therapist, together, can determine what works best for you. But do remember that being able to trust your therapist to guide and support you is key. So if you're having a hard time connecting with your therapist after 3-4 sessions, you will want to bring it up to them so you can discuss any barriers and if needed, request a referral for another therapist."
"We live with my ex-partner’s sister and her husband. We have been there for five years now. They are Hispanic and talk to my daughter in their language. Sometimes they overstep their balance between aunt and uncle and reach into my role as a parent. They neglect to see this. I do, and it reflects in my child's behavior. She sees them as stable but is upset that her dad isn't here, and my intuition tells me she blames me to a degree because she doesn't know about his alcohol addictions.","Hi New York, I'm happy to hear that your daughter doesn't know about her dad's addictions. Although you don't say how old she is, and I imagine that at some point in her life she will be ready to know the truth, I trust your instinct that now is not the time. Your ability to have clear boundaries about what is adult conversation and what is suitable for a child to know are really important here, and I can tell you're being appropriately protective and a thoughtful parent. As much as this helps your daughter, I sense that you also know you can't take away the emotional pain that comes from having an absent parent. Children tend to blame themselves for a parent's absence. These children need extra love and support wherever they can get it.You say that you feel like there is a wedge between you and your daughter. I understand that having your ex partner's relatives in the same home would make it uncomfortable at times. It is very important to establish boundaries; only you should parent your daughter, but it's also natural for people to want to assist you. Let's trust that their intentions are good, if there is no evidence to the contrary. As much as they support you, they also  have emotional ties to your daughter's father. While there is potential for discomfort in this complex situation, there are also many positive factors here that I invite you to see.I don't know what your culture is, but for your daughter to have the opportunity to preserve her father's heritage language and a relationship with his family are potentially wonderful additions to her life. In general, the more adults around loving and supporting a child, the better. It could be that you are feeling threatened by small moments where there appears to be a special connection between your daughter and her father's family. Nothing anyone else does can take your daughter's love from you. My hope for you is that you can feel so secure in your own position as loving mother that you will not feel intimidated by other positive connections your daughter has. They are potentially wonderful connections, and she deserves your support in maintaining those relationships if they don't harm her.I suggest that the most important alliances to work on here are between you and your ex's family. If you could all give your daughter the gift of a healthy, united supportive and loving safety net for her...that's the best outcome of all. "
"My toddler defies everything I say and doesn’t see me as authoritative, so she says no about everything. I'd like to hear some ways I can work on not needing to feel so much in control all the time.",Trust that you are a good mother and that you love your child.Trust and love are their own authority and come from a different inner place than the urge to be obeyed.Trust and love are effective guidance and usually feel happier and lighter too!
"When my daughter is stressed about a silly thing from school, she starts crying and freaking out. She is a bright student, always has a 4.0, but I am afraid she is stressing too much. I’m afraid it’s going to break her. I don't know if I should get her to a doctor or someone because this is not normal.","Watching children go through challenges in their lives is difficult. On a very basic level, There exists a primal need to protect them from harm. The hard part for parents is letting them feel those challenges and working through them as they get older. At some point, there is a moment that occurs when the role as a parent shifts. Children no longer need the basics (food, shelter. water, safety) as much as when they were toddlers, but rather, their needs shift to wanting more support, encouragement, advice, and room to make mistakes. This is where the ability to communicate with them, letting them direct the sails to gather the wind needed to move, is so important. Keep the lines of communication open and be available to give feedback when they ask for it. "
Now I have anger and trust issues. How can I treat this and fix myself?,"I will assume that for whatever reason, you either do not want to or are not able to seek counseling for this.  However, I highly urge you to do so because long-term childhood abuse does have negative consequences for your life as an adult, as it seems you are already aware. There are confidential and free crisis hotlines that you can call that deal with sexual abuse.  Some/most also offer free counseling services in local areas.  That would be a good place to start looking, especially if cost of counseling is an issue.The important thing to know is that what happened was not your fault and that you deserve to live a happy life free of the past.  Having anger and trust issues after something like this is a perfectly normal reaction to what happened to you.  Angry?  Yes! At your brother for what he did, at your parents for not protecting you.  Having trouble trusting?  Of course!  The very people who were supposed to love and protect you hurt you instead. Two books that might help you are Codependent No More and Boundaries: Where You End and I Begin."
"Is it normal for people to cry during therapy, or is it just me?","It is generally very normal to cry in therapy, and for many reasons. Therapy should be a safe space to explore emotions as they come up and how you cope with these emotions. I would encourage you to talk with your therapist about crying and to explore your experience of emotions/feelings. Sometimes people will apologize for crying. However, emotions and expression of emotions is part of being human. There is no ""right"" or ""wrong"" emotion to have. How we express and cope with emotions is more of something to explore in therapy if it is hindering your life. Either extreme of keeping emotions in and avoiding or feeling like your emotions run your life/struggle to regulate your emotions is something to explore in therapy, as this is often the most distressing and troublesome for people. Hopefully this provides some insight."
"My ex-husband told my two adolescents that Santa doesn't exist on the day before Christmas. They are desperate to hold on to the magic of Christmas, but I don't know if it's right for me to lie to them and tell them that Santa is real. I don't want to let them down and make them lose out on those memories, but I also don't want to lose their trust.","Well Boise, the cat's out of the bag now, isn't it? I love that you want to help your kids keep the magic of Christmas. They must want that too if they still believe in Santa into their teen years, which is unusual, I believe. I wonder if they had already figured it out anyway?But they know now, and your ex had the right to tell them if he felt it was best. So it's time to explain to them what a loving and magical thing it is that parents do, and Christmas can still be magical in so many ways. Really, who says they have to stop believing in Santa? Santa is very real as a spirit of surprise, generosity and love."
"I'm a male in my early 20s. Lately, my paranoia about being around kids is causing me too breathe heavy and sweat a lot. I then start to act weird because I'm trying to fight my paranoia. This leads to people starring at me because they don't know that I'm suffering from panic attacks and paranoia. They just notice me acting scared around kids and they think I'm a threat because of it.    I'm not a pervert or predator. I would never hurt a kid. I like kids and don't know why I'm so scared to be around them.    I don't understand why I feel like this. Am I a bad person? How do I make this stop?","In our practice, many people we see have unwanted thoughts of doing harm to children - physically or sexually. As you said, these are intrusive and unwanted thoughts - not genuine desires to harm them. This is a form of OCD we often call Harm or Pedophilic OCD. What you are describing here as ""paranoia"" sounds similar to this, and is so demoralizing because you are dealing both with the distress of these unwanted thoughts and feelings, as well as the fear and uncertainty about your own character as a good person.If this is really what is going on (further assessment by the right professional would determine this), the current gold standard approach to addressing OCD is Exposure with Response Prevention - in this case, confronting the feared situations, thoughts or images on purpose, rather than avoiding them, until they lose the fear and shame associated with them."
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","The most direct answer is no. I would venture to guess that several of the things you are feeling (symptoms) are connected. I would recommend a trauma counselor. You have several strengths (resources) that you are able to pull from and I would encourage you to focus on them as you deal with the issues you have placed on the back burner for so long. Sometimes people are afraid to address things because they feel or believe that they won’t be able to handle it. Compare it to a tornado. The storm has passed, but you are still in hiding for fear of the aftermath (the mess left behind). A good therapist is like a personal organizer to help you."
"My wife and I got separated because I asked about her contact with a male friend of hers. The next day, she kicked me out. She let me move back two days later. Yesterday, she said she wanted a divorce then quickly changed her mind. I asked if the other guy was a factor, but she says it's not my business.","Divorce is a serious, life altering decision.It is best to decide any serious matter through reflection and discussion.Start by knowing what you want from the marriage and why you are willing to move in or out of your own house because your wife tells you to do this.Each of you would benefit from more clarity of what you expect and would like from each other.Does your wife want a boyfriend in addition to the marriage to you?Is she willing to drop the male contact?Does she care how you feel about her contact with the other guy?You need answers and knowledge about the definition of your marriage.Since there are many areas to open, all of which are filled with emotion, including pain, if you're not able to make satisfactory progress then a licensed couples therapist may be useful to you and your partner."
